 TOTAL ENERGY DIFFERENCES TABULATED AGAINST FERMI ENERGY
       EF       1 POSN       2 POSN
  0.80840E+00 -0.92521E+00 -0.92521E+00
  0.81849E+00 -0.95546E+00 -0.95546E+00
  0.82857E+00 -0.98571E+00 -0.98571E+00
  0.83866E+00 -0.10160E+01 -0.10160E+01
  0.84874E+00 -0.10462E+01 -0.10462E+01
  0.85882E+00 -0.10765E+01 -0.10765E+01
  0.86891E+00 -0.11067E+01 -0.11067E+01
  0.87899E+00 -0.11370E+01 -0.11370E+01
  0.88908E+00 -0.11672E+01 -0.11672E+01
  0.89916E+00 -0.11975E+01 -0.11975E+01
  0.90924E+00 -0.12277E+01 -0.12277E+01
  0.91933E+00 -0.12580E+01 -0.12580E+01
  0.92941E+00 -0.12882E+01 -0.12882E+01
  0.93950E+00 -0.13185E+01 -0.13185E+01
  0.94958E+00 -0.13487E+01 -0.13487E+01
  0.95966E+00 -0.13790E+01 -0.13790E+01
  0.96975E+00 -0.14092E+01 -0.14092E+01
  0.97983E+00 -0.14395E+01 -0.14395E+01
  0.98992E+00 -0.14697E+01 -0.14697E+01
  0.10000E+01 -0.15000E+01 -0.15000E+01
