# 0
# 1
-0.20000E+00 6.075e-10
-0.17576E+00 5.1e-09
-0.15152E+00 5.1287e-08
-0.12727E+00 7.879e-07
-0.10303E+00 2.5391e-05
-0.78788E-01 0.00015111
-0.54545E-01 0.000434
-0.30303E-01 0.0006252
-0.60606E-02 0.0003087
0.18182E-01 0.000556
0.42424E-01 0.003504
0.66667E-01 0.004157
0.90909E-01 0.004157
0.11515E+00 0.004157
0.13939E+00 0.004157
0.16364E+00 0.004157
0.18788E+00 0.004157
0.21212E+00 0.004157
0.23636E+00 0.004157
0.26061E+00 0.004157
0.28485E+00 0.004157
0.30909E+00 0.002652
0.33333E+00 0.002653
0.35758E+00 0.002653
0.38182E+00 0.002652
0.40606E+00 0.00265
0.43030E+00 0.00265
0.45455E+00 0.00265
0.47879E+00 0.00266
0.50303E+00 0.00091
0.52727E+00 -0.00014
0.55152E+00 -0.00014
0.57576E+00 -0.00014
0.60000E+00 -0.00014
 0
